Problem Number,Date,Difficulty,Tags,New Concepts Learn,Status,My Logic
33. Search in Rotated Sorted Array,"August 6, 2023","Medium ","Array, Binary Search","https://www.notion.so/0ec9fc3c41664a28988878fb906652d5?pvs=21
#Important revise well#",Checked Solution,
153. Find Minimum in Rotated Sorted Array,"August 7, 2023","Medium ","Array, Binary Search",https://www.notion.so/0ec9fc3c41664a28988878fb906652d5?pvs=21,Solved,
540. Single Element in a Sorted Array,"August 7, 2023","Medium ","Array, Binary Search","https://www.notion.so/368db1fe6bfe44f88c47bdc51ec34722?pvs=21
Pair property(i.e every pair in the array starts from odd or even position only).",Checked Solution,"Leetcode%20b88694650b4c4df2b61ed2dd118bbdf7/Leetcode%20ce6a9dbb217e4b349b44e050737d15c7/540%20Single%20Element%20in%20a%20Sorted%20Array%2026170119f9de4430b77805cd0da5d055/IMG_5540.jpeg, Leetcode%20b88694650b4c4df2b61ed2dd118bbdf7/Leetcode%20ce6a9dbb217e4b349b44e050737d15c7/540%20Single%20Element%20in%20a%20Sorted%20Array%2026170119f9de4430b77805cd0da5d055/IMG_5541.jpeg"
876. Middle of the Linked List,"August 8, 2023",Easy,"Linked List, Two Pointers",How to use Node pointer (Important: Revise/Dry run),Checked Solution,
206. Reverse Linked List,"August 9, 2023",Easy,Linked List,Two pointers approach,Checked Solution,Leetcode%20b88694650b4c4df2b61ed2dd118bbdf7/Leetcode%20ce6a9dbb217e4b349b44e050737d15c7/206%20Reverse%20Linked%20List%206902147c79384bed80057657e69e2c3b/IMG_5562.jpeg
141. Linked List Cycle,"August 9, 2023",Easy,"Hash Table, Linked List, Two Pointers",How to use map to store Node in it,Solved,
234. Palindrome Linked List,"August 10, 2023",Easy,"Linked List, Recursion, Stack, Two Pointers",How to create a copy of the Linked List,Solved,Leetcode%20b88694650b4c4df2b61ed2dd118bbdf7/Leetcode%20ce6a9dbb217e4b349b44e050737d15c7/234%20Palindrome%20Linked%20List%2050e77c3cc8ef4707a718a959dac51622/IMG_5602.jpeg
19. Remove Nth Node From End of List,"August 14, 2023","Medium ","Linked List, Two Pointers","Learned how to handle edge cases→ empty list, 1 node present, 2 node present
How to write (head→next==NULL) condition differently in the while loop.",Checked Solution,Leetcode%20b88694650b4c4df2b61ed2dd118bbdf7/Leetcode%20ce6a9dbb217e4b349b44e050737d15c7/19%20Remove%20Nth%20Node%20From%20End%20of%20List%2069425bee24334de089edc5ae8d199f16/IMG_5659.jpeg
2095. Delete the Middle Node of a Linked List,"August 14, 2023","Medium ","Linked List, Two Pointers",,Solved,Leetcode%20b88694650b4c4df2b61ed2dd118bbdf7/Leetcode%20ce6a9dbb217e4b349b44e050737d15c7/2095%20Delete%20the%20Middle%20Node%20of%20a%20Linked%20List%206f1655b11d47415cb49e91477e132c24/IMG_5660.jpeg
21. Merge Two Sorted Lists,"August 17, 2023",Easy,"Linked List, Recursion",How to break node links and add it to new list with dummy node.,Checked Solution,
225. Implement Stack using Queues,"January 10, 2024",Easy,"Queue, Stack",Using 1 and using 2 queue,Checked Solution,
